Var1,AllHippoSupInfIndex,AllHippoLatVenIndex,AllHippoHBTIndex,AllHippoLamellaIndex,AllHippoAtlasIndex,AllHippoLamellaAtlasIndex,AllHippoHBTAtlasIndex,AllHippoLamellaSupInfLatVenIndex,AllHippoHBTSupInfLatVenIndex,AllHippoLamellaAtlasIndex_1
1,1,2,3,5,10,1,18,2,10,1
2,1,2,3,5,10,1,18,2,10,1
3,1,2,3,5,10,1,18,2,10,1
4,1,2,3,5,10,1,18,2,10,1
5,1,2,3,5,10,1,18,2,10,1
6,1,2,3,5,10,1,18,2,10,1
7,1,2,3,5,10,1,18,2,10,1
8,1,2,3,5,10,1,18,2,10,1
9,1,2,3,5,10,1,18,2,10,1
10,1,2,3,5,10,1,18,2,10,1
11,1,2,3,5,10,1,18,2,10,1
12,1,2,3,5,10,1,18,2,10,1
13,1,2,3,5,10,1,18,2,10,1
14,1,2,3,5,10,1,18,2,10,1
15,1,2,3,5,10,1,18,2,10,1
16,1,2,3,5,10,1,18,2,10,1
17,1,2,3,5,10,1,18,2,10,1
18,1,2,3,5,10,1,18,2,10,1
19,1,2,3,5,10,1,18,2,10,1
20,1,2,3,5,10,1,18,2,10,1
21,1,2,3,5,10,1,18,2,10,1
22,1,2,3,5,10,1,18,2,10,1
23,1,2,3,5,10,1,18,2,10,1
24,1,2,3,5,10,1,18,2,10,1
25,1,2,3,5,10,1,18,2,10,1
26,1,2,3,5,10,1,18,2,10,1
27,1,2,3,5,10,1,18,2,10,1
28,1,2,3,5,10,1,18,2,10,1
29,1,2,3,5,10,1,18,2,10,1
30,1,2,3,5,10,1,18,2,10,1
31,1,2,3,5,10,1,18,2,10,1
32,1,2,3,5,10,1,18,2,10,1
33,1,2,3,5,10,1,18,2,10,1
34,1,2,3,5,10,1,18,2,10,1
35,1,2,3,5,10,1,18,2,10,1
36,1,2,3,5,10,1,18,2,10,1
37,1,2,3,5,10,1,18,2,10,1
38,1,2,3,5,10,1,18,2,10,1
39,1,2,3,5,10,1,18,2,10,1
40,1,2,3,5,10,1,18,2,10,1
41,1,2,3,5,10,1,18,2,10,1
42,1,2,3,5,10,1,18,2,10,1
43,1,2,3,5,10,1,18,2,10,1
44,1,2,3,5,10,1,18,2,10,1
45,1,2,3,5,10,1,18,2,10,1
46,1,2,3,6,10,2,18,6,10,2
47,1,2,3,6,10,2,18,6,10,2
48,1,2,3,6,10,2,18,6,10,2
49,1,2,3,6,10,2,18,6,10,2
50,1,2,3,6,10,2,18,6,10,2
51,1,2,3,7,10,5,18,10,10,5
52,1,2,3,7,10,5,18,10,10,5
53,1,2,3,7,10,5,18,10,10,5
54,1,2,3,7,10,5,18,10,10,5
55,1,2,3,7,10,5,18,10,10,5
56,1,2,3,8,10,8,18,14,10,8
57,1,2,3,8,10,8,18,14,10,8
58,1,2,3,8,10,8,18,14,10,8
59,1,2,3,8,10,8,18,14,10,8
60,1,2,3,8,10,8,18,14,10,8
61,1,2,2,9,10,12,15,18,6,12
62,1,2,2,9,10,12,15,18,6,12
63,1,2,2,9,10,12,15,18,6,12
64,1,2,2,9,10,12,15,18,6,12
65,1,2,2,9,10,12,15,18,6,12
66,1,2,3,6,10,2,18,6,10,2
67,1,2,3,6,10,2,18,6,10,2
68,1,2,3,6,10,2,18,6,10,2
69,1,2,3,6,10,2,18,6,10,2
70,1,2,3,7,10,5,18,10,10,5
71,1,2,3,7,10,5,18,10,10,5
72,1,2,3,7,10,5,18,10,10,5
73,1,2,3,7,10,5,18,10,10,5
74,1,2,3,8,10,8,18,14,10,8
75,1,2,3,8,10,8,18,14,10,8
76,1,2,3,8,10,8,18,14,10,8
77,1,2,3,8,10,8,18,14,10,8
78,1,2,2,9,10,12,15,18,6,12
79,1,2,2,9,10,12,15,18,6,12
80,1,2,2,9,10,12,15,18,6,12
81,1,2,2,9,10,12,15,18,6,12
82,1,2,2,10,9,17,14,22,6,17
83,1,2,2,10,10,18,15,22,6,18
84,1,2,2,10,10,18,15,22,6,18
85,1,2,2,10,10,18,15,22,6,18
86,1,2,2,10,10,18,15,22,6,18
87,1,2,2,11,9,24,14,26,6,24
88,1,2,2,11,9,24,14,26,6,24
89,1,2,2,11,9,24,14,26,6,24
90,1,2,2,11,9,24,14,26,6,24
91,1,2,2,11,9,24,14,26,6,24
92,1,2,2,12,9,31,14,30,6,31
93,1,2,2,12,9,31,14,30,6,31
94,1,2,2,12,9,31,14,30,6,31
95,1,2,2,12,9,31,14,30,6,31
96,1,2,2,12,9,31,14,30,6,31
97,1,2,2,13,9,38,14,34,6,38
98,1,2,2,13,9,38,14,34,6,38
99,1,2,2,13,9,38,14,34,6,38
100,1,2,2,13,9,38,14,34,6,38
101,1,2,2,13,9,38,14,34,6,38
102,1,2,2,10,10,18,15,22,6,18
103,1,2,2,10,10,18,15,22,6,18
104,1,2,2,10,10,18,15,22,6,18
105,1,2,2,10,10,18,15,22,6,18
106,1,2,2,11,10,25,15,26,6,25
107,1,2,2,11,1,19,9,26,6,19
108,1,2,2,11,10,25,15,26,6,25
109,1,2,2,11,1,19,9,26,6,19
110,1,2,2,12,1,26,9,30,6,26
111,1,2,2,12,1,26,9,30,6,26
112,1,2,2,12,1,26,9,30,6,26
113,1,2,2,12,1,26,9,30,6,26
114,1,2,2,13,1,33,9,34,6,33
115,1,2,2,13,1,33,9,34,6,33
116,1,2,2,13,1,33,9,34,6,33
117,1,2,2,13,1,33,9,34,6,33
118,1,2,2,14,9,44,14,38,6,44
119,1,2,2,14,9,44,14,38,6,44
120,1,2,2,14,9,44,14,38,6,44
121,1,2,2,14,9,44,14,38,6,44
122,1,2,2,14,9,44,14,38,6,44
123,1,2,2,15,9,50,14,42,6,50
124,1,2,2,15,9,50,14,42,6,50
125,1,2,2,15,9,50,14,42,6,50
126,1,2,2,15,9,50,14,42,6,50
127,1,2,2,15,9,50,14,42,6,50
128,1,2,2,16,8,53,13,46,6,53
129,1,2,2,16,9,54,14,46,6,54
130,1,2,2,16,9,54,14,46,6,54
131,1,2,2,16,9,54,14,46,6,54
132,1,2,2,16,9,54,14,46,6,54
133,1,2,2,17,8,58,13,50,6,58
134,1,2,2,17,8,58,13,50,6,58
135,1,2,2,17,9,59,14,50,6,59
136,1,2,2,17,9,59,14,50,6,59
137,1,2,2,17,9,59,14,50,6,59
138,1,2,2,14,1,39,9,38,6,39
139,1,2,2,14,1,39,9,38,6,39
140,1,2,2,14,1,39,9,38,6,39
141,1,2,2,14,1,39,9,38,6,39
142,1,2,2,15,1,45,9,42,6,45
143,1,2,2,15,1,45,9,42,6,45
144,1,2,2,15,1,45,9,42,6,45
145,1,2,2,15,1,45,9,42,6,45
146,1,2,2,16,9,54,14,46,6,54
147,1,2,2,16,1,51,9,46,6,51
148,1,2,2,16,1,51,9,46,6,51
149,1,2,2,16,1,51,9,46,6,51
150,1,2,2,17,9,59,14,50,6,59
151,1,2,2,17,1,55,9,50,6,55
