Var1,CA1,CA3,CA4,GC_DG,HATA,mole_layer,para_sub,pre_sub,sub,tail
1,12,23,10,11,27,11,21,19,11,5
2,13,24,11,12,27,11,21,19,11,5
3,14,23,11,12,27,12,22,19,12,5
4,15,23,12,13,27,12,22,19,12,5
5,16,23,12,13,27,12,22,20,12,5
6,16,23,13,14,28,13,22,20,13,6
7,17,22,13,14,28,13,23,20,13,7
8,16,21,13,15,28,13,23,20,13,7
9,17,23,14,15,28,14,23,21,14,7
10,18,23,14,15,28,14,24,21,14,7
11,19,22,14,16,29,14,24,21,14,8
12,21,21,15,16,29,15,25,21,15,8
13,24,20,15,17,29,15,25,21,15,8
14,24,11,16,17,29,15,21,21,15,8
15,24,11,16,17,27,15,21,22,16,8
16,24,11,16,17,27,16,24,22,16,9
17,24,12,17,18,28,16,24,22,16,9
18,25,12,17,18,29,16,NaN,22,17,9
19,25,12,17,18,29,16,NaN,23,17,9
20,25,13,17,18,29,17,NaN,23,17,9
21,25,13,18,18,30,17,NaN,22,17,10
22,25,13,18,19,30,17,NaN,23,17,10
23,25,13,18,19,30,17,NaN,23,18,10
24,26,14,18,20,30,17,NaN,24,18,11
25,26,14,18,20,30,18,NaN,21,18,11
26,26,14,19,20,30,18,NaN,21,18,11
27,26,14,19,20,29,18,NaN,21,18,11
28,26,14,19,20,29,18,NaN,20,19,10
29,27,15,19,21,29,18,NaN,20,19,10
30,27,15,19,21,28,19,NaN,20,19,9
31,26,15,20,21,28,19,NaN,20,19,9
32,26,15,20,21,28,19,NaN,19,19,9
33,27,16,20,22,28,19,NaN,19,20,8
34,26,16,20,22,27,19,NaN,19,20,8
35,26,16,20,22,27,20,NaN,18,20,8
36,26,16,21,23,27,20,NaN,18,19,8
37,25,16,21,23,27,20,NaN,18,20,7
38,25,17,21,24,26,20,NaN,17,21,7
39,25,17,22,26,26,20,NaN,17,21,7
40,25,17,22,24,26,21,NaN,17,22,6
41,25,17,23,24,25,21,NaN,20,22,6
42,24,17,24,23,28,21,NaN,19,23,5
43,12,18,24,23,27,21,NaN,18,24,8
44,12,18,23,23,26,20,NaN,17,24,7
45,13,18,23,23,25,21,NaN,17,18,7
46,13,19,23,22,25,21,NaN,16,17,5
47,12,19,23,22,24,22,NaN,16,16,5
48,14,19,22,22,24,22,NaN,16,15,6
49,15,19,22,22,25,22,NaN,15,15,6
50,16,20,22,21,25,22,NaN,15,14,6
51,16,20,22,21,25,22,NaN,14,14,6
52,17,21,21,21,25,23,NaN,14,13,7
53,14,21,21,23,26,23,NaN,13,13,7
54,15,22,21,20,26,23,NaN,13,12,7
55,16,23,21,17,26,23,NaN,13,12,7
56,17,24,22,16,26,23,NaN,16,11,8
57,18,24,21,15,26,24,NaN,15,10,8
58,18,24,20,14,27,22,NaN,15,22,8
59,19,23,20,13,27,22,NaN,15,23,9
60,19,23,20,10,27,23,NaN,14,16,9
61,19,22,20,10,28,23,NaN,14,NaN,9
62,20,22,20,11,29,24,NaN,13,NaN,9
63,20,22,15,13,29,23,NaN,13,NaN,9
64,20,22,12,13,29,23,NaN,12,NaN,8
65,20,21,10,14,26,23,NaN,12,NaN,8
66,20,21,12,15,28,22,NaN,12,NaN,9
67,21,23,13,16,29,22,NaN,11,NaN,10
68,21,22,13,16,29,22,NaN,11,NaN,10
69,21,22,14,16,30,22,NaN,11,NaN,10
70,21,20,19,17,30,21,NaN,10,NaN,11
71,21,20,20,17,30,21,NaN,10,NaN,11
72,18,20,21,17,31,20,NaN,10,NaN,11
73,18,20,22,18,31,20,NaN,9,NaN,10
74,19,19,22,18,31,20,NaN,9,NaN,11
75,19,19,22,18,31,19,NaN,12,NaN,9
76,20,19,22,18,31,19,NaN,11,NaN,9
77,20,19,21,19,30,19,NaN,10,NaN,9
78,21,18,21,19,30,18,NaN,10,NaN,9
79,21,18,21,19,30,18,NaN,9,NaN,8
80,22,18,21,19,29,18,NaN,8,NaN,8
81,22,18,20,19,29,18,NaN,24,NaN,7
82,22,17,20,20,29,17,NaN,24,NaN,7
83,22,17,19,20,28,17,NaN,18,NaN,7
84,22,NaN,19,21,28,19,NaN,17,NaN,6
85,23,NaN,18,21,27,18,NaN,17,NaN,5
86,23,NaN,17,21,27,18,NaN,17,NaN,8
87,23,NaN,16,22,27,17,NaN,16,NaN,7
88,23,NaN,15,22,26,17,NaN,13,NaN,NaN
89,23,NaN,15,22,26,16,NaN,13,NaN,NaN
90,24,NaN,14,22,26,16,NaN,16,NaN,NaN
91,24,NaN,13,22,25,15,NaN,15,NaN,NaN
92,24,NaN,12,21,25,15,NaN,14,NaN,NaN
93,24,NaN,NaN,21,25,14,NaN,12,NaN,NaN
94,24,NaN,NaN,23,25,14,NaN,12,NaN,NaN
95,25,NaN,NaN,19,24,13,NaN,11,NaN,NaN
96,25,NaN,NaN,17,NaN,13,NaN,11,NaN,NaN
97,22,NaN,NaN,17,NaN,13,NaN,10,NaN,NaN
98,22,NaN,NaN,17,NaN,15,NaN,10,NaN,NaN
99,23,NaN,NaN,16,NaN,14,NaN,9,NaN,NaN
100,23,NaN,NaN,16,NaN,13,NaN,12,NaN,NaN
101,24,NaN,NaN,16,NaN,12,NaN,11,NaN,NaN
102,24,NaN,NaN,15,NaN,12,NaN,10,NaN,NaN
103,25,NaN,NaN,15,NaN,12,NaN,NaN,NaN,NaN
104,26,NaN,NaN,14,NaN,12,NaN,NaN,NaN,NaN
105,26,NaN,NaN,14,NaN,11,NaN,NaN,NaN,NaN
106,26,NaN,NaN,13,NaN,11,NaN,NaN,NaN,NaN
107,26,NaN,NaN,13,NaN,11,NaN,NaN,NaN,NaN
108,27,NaN,NaN,12,NaN,11,NaN,NaN,NaN,NaN
109,26,NaN,NaN,12,NaN,10,NaN,NaN,NaN,NaN
110,26,NaN,NaN,11,NaN,10,NaN,NaN,NaN,NaN
111,26,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN
112,24,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN
113,24,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN
114,24,NaN,NaN,NaN,NaN,13,NaN,NaN,NaN,NaN
115,24,NaN,NaN,NaN,NaN,13,NaN,NaN,NaN,NaN
116,23,NaN,NaN,NaN,NaN,13,NaN,NaN,NaN,NaN
117,23,NaN,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN
118,23,NaN,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN
119,23,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN
120,22,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN
121,22,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN
122,22,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN
123,22,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN
124,21,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN
125,21,NaN,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN
126,21,NaN,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN
127,21,NaN,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN
